brousse tigrée,shrubland,erosion,loss of soil,savannization,artificialisation
fallow,artificialization,urbanization,urban,city,desertification
agricultural land,agricultural decline,stop of culture,culture,pastoralisme,savane
land use without pasture,deforestation,reforestation,afforestation,cultivation,agriculture abandonment
urbanisation,urban development,grass land,savanna,grain ,
annual crop,,cereals,maize,corn,
,,irrigated rice,rainfed rice,paddy,oats
,rye,sorghum,durra,great millet,millets
,barley,resistant starch,mixed cereals,vegetables,hegari
,leafy vegetables,stem vegetables,artichokes,rice,mijo
globe artichokes,asparagus,cabbages,cauliflowers,broccoli,aubergines
calabrese,sprouting broccoli ,lettuce,spinach,chicory,chives
fruit,fruit bearing vegetables,cucumbers,gherkins,eggplants,scallions
tomatoes,watermelons,water melons,muskmelons,melons,
pumpkin,squash,gourds,root bulb,tuberous vegetables,
carrots,onions,taro,cocoyam,dasheen,
turnips,bulbous vegetables,,garlic,agroforestry,shallots
leeks,alliaceous vegetables,oilseed crops,groundnuts,monkeynuts,oil crops
peanuts,castor bean,castor seed,linseed,flaxseed,oil plants
mustard,mustard oil,,,,forest restoration 
niger seed,rapeseed,canola,colza,safflower,aff
sesame,sunflower,root crop,tuber crop,cassava,
mandioca,manioc,yuca,potatoes,irish potato,
sweet potatoes,sweetpotatoes,yams,leguminous crops,beans,chinese gooseberry
peas,field pea,garden pea,soya beans,soja beans,kiwi
grasses,fodder crops,fibre crops,cotton,fruit crops,orchard crops
orchards,kiwifruit,citrus,citrus fruits,pineapples,yearly crop
guava,pomegranate,persimmon,papayas,pawpaw,seasonal crop
carica papaya,mangoes,nuts,cashew,pecan,crop-raising
pistachios,agroforestery,savannah with tree,savannah with shrubs,crop,savannah
shrubs,shrub land,grassland,meadows,evergreen forest,forest
mixed forests,mediterranean mixed forests,tiger bush,,bare soil,evergreen mixed 
build-up surface,build up surface,roads,,water bodies,water
cultivated plants,cultivated vegetation,fiber crops,fibre plants,textile crops,
orange,lemon,lime,grapefruit,agriculture,LULCC
land cover,land use ,seasonal,abandon of crops,stop of culture,
