crop,,annual crop,seasonal crop,cereals,grain ,maize,maize,corn,,,,,,,
,,,yearly crop,,,oats,oats,oat,,,,,,,
,,,,,,Rice,irrigated rice,paddy fields ,paddy field,,,,,,
,,,,,,,rainfed rice,rice paddies ,rice fields,rice paddy,,,,,
,,,,,,millets,millets,,,,,,,,
,,,,,,rye,rye,,,,,,,,
,,,,,,Sorghum,Sorghum,mijo,hegari,jowar,kafir corn,,,,
,,,,,,Barley,Barley,,,,,,,,
,,,,,,Other cerealsOther cereals,Mixed cereals,,,,,,,,
,,,,,,,Other ,,,,,,,,
,,,,vegetables ,leaf vegetables,leafy vegetables,Artichokes,,,,,,,,
,,,,melons,,stem vegetables,Asparagus,,,,,,,,
,,,,,,,Cabbages,,,,,,,,
,,,,,,,Cauliflowers ,broccoli,,,,,,,
,,,,,,,Lettuce,calabrese,,,,,,,
,,,,,,,Spinach,,,,,,,,
,,,,,,,Chicory,,,,,,,,
,,,,,,,Other ,,,,,,,,
,,,,,,fruit bearing vegetables,Cucumbers,,,,,,,,
,,,,,,,Eggplants,aubergines,brinjal,,,,,,
,,,,,,,Tomatoes,,,,,,,,
,,,,,,,Watermelons,water melons ,,,,,,,
,,,,,,,melons,muskmelons,,,,,,,
,,,,,,,Pumpkin ,squash,gourds,,,,,,
,,,,,,,Other ,,,,,,,,
,,,,,Root bulb ,tuberous vegetables,carrots,,,,,,,,
,,,,,,,onions,shallots,,,,,,,
,,,,,,,taro,cocoyam,dasheen,,,,,,
,,,,,,,Turnips,,,,,,,,
,,,,,,,Garlic,,,,,,,,
,,,,,Leeks ,bulbous vegetables,"alliaceous
vegetables",,,,,,,,
,,,,,,,Other ,chives,scallions,,,,,,
,,oilseed,oilseed crops,oil crops,oil plants,groundnuts,groundnuts,monkeynuts ,peanuts ,,,,,,
,,,,,,Other,Castor bean,castor seed,,,,,,,
,,,,,,,Linseed,flaxseed,,,,,,,
,,,,,,,Mustard,mustard oil ,,,,,,,
,,,,,,,Niger seed,,,,,,,,
,,,,,,,Rapeseed,canola seed,colza seed,,,,,,
,,,,,,,Safflower,,,,,,,,
,,,,,,,Sesame,,,,,,,,
,,,,,,,Sunflower,,,,,,,,
,,,,,,,Other ,,,,,,,,
,,,Root,tuber crops,,casava,casava,mandioca,manioc,yuca ,,,,,
,,,,tuber,,potatoes,potatoes,,,,,,,,
,,,,,,sweet potatoes,sweet potatoes,sweetpotatoes,,,,,,,
,,,,,,Yams,Yams,,,,,,,,
,,,,,,Other,Other ,,,,,,,,
,,,,Leguminous crops,,beans,beans,,,,,,,,
,,,,Leguminous,,peas,peas,,,,,,,,
,,,,legumes,,soya beans,soya beans,soja beans ,soya beans,,,,,,
,,,,Other crops,Grasses,fodder crops,forage crops,pasture plants,,,,,,,
,,,,,,Fibre crops,Cotton,fiber crops,fibre plants,textile crops,,,,,
,,,,,,,Other ,,,,,,,,
,,ligneous crops,,fruit crops ,orchard crops,,kiwifruit,kiwi,chinese gooseberry,,,,,,
,,,,fruit,,,citrus fruits,orange,lemon,lime,grapefruit,desert lime,mandarin,clementine,pomelo
,,,,,,,Pineapples,,,,,,,,
,,,,,,,Guava,,,,,,,,
,,,,,,,pomegranate,,,,,,,,
,,,,,,,persimmon,,,,,,,,
,,,,,,,papayas,,,,,,,,
,,,,,,,Mangoes,,,,,,,,
,,,,,,Nuts,cashew,,,,,,,,
,,,,,,,pecan,,,,,,,,
,,,,,,,pistachios,,,,,,,,
,Agroforestry,,,,,,,,,,,,,,
Non-crop,fallow,Fallows,,Fallows,,Fallows,Fallows,,,,,,,,
,savanna,Savannah,tree,Savannah with tree,,Savannah with tree,Savannah with tree,,,,,,,,
,,shrubs,shrub,Savannah with shrubs,,Savannah with shrubs / shrub land,Savannah with shrubs / shrub land,,,,,,,,
,,,shrubland,"Grassland 
",Meadows,"Grassland &
Meadows","Grassland &
Meadows",,,,,,,,
,forests,Forest,,Evergreen forest,,Evergreen forest,Evergreen forest,evergreen mixed forests ,Mediterranean mixed forests,,,,,,
,,,Tiger bush ,Brousse tigrée ,,Tiger bush / Brousse tigrée ,Tiger bush / Brousse tigrée ,,,,,,,,
,,Bare soil,,Bare soil,,Bare soil,Bare soil,,,,,,,,
,,Build-up surface,,Build-up surface,,Build-up surface,Build-up surface,,,,,,,,
,,,,Roads,,Roads,Roads,,,,,,,,
,water,water bodies,,water bodies,,water bodies,water bodies,,,,,,,,
,Historical land,Historical land of forests ,,uncommon fallow,culture,pastoralism,land use without pasture,,,,,,,,
,,,,Build-up surface,artificial land,city,urban,loss of soil,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,agriculture,,,,,,,,,,,,,
,,LULCC,,,,,,,,,,,,,
,,land cover,,,,,,,,,,,,,
,,water,,,,,,,,,,,,,
